ID,total_goals,Target
WC-2026_AUT,3,group
WC-2026_BEL,3,group
WC-2026_BIH,3,group
WC-2026_HRV,3,group
WC-2026_CZE,3,group
WC-2026_ENG,7,sf
WC-2026_FRA,8,champion
WC-2026_DEU,6,qf
WC-2026_NLD,3,group
WC-2026_NOR,3,group
WC-2026_PRT,3,group
WC-2026_SCO,3,group
WC-2026_ESP,6,qf
WC-2026_SWE,3,group
WC-2026_CHE,3,group
WC-2026_TUR,3,group
WC-2026_DZA,3,group
WC-2026_CPV,3,group
WC-2026_CIV,3,group
WC-2026_COD,3,group
WC-2026_EGY,3,group
WC-2026_GHA,3,group
WC-2026_MAR,5,qf
WC-2026_SEN,3,group
WC-2026_ZAF,3,group
WC-2026_TUN,3,group
WC-2026_AUS,3,group
WC-2026_IRN,3,group
WC-2026_IRQ,3,group
WC-2026_JPN,3,group
WC-2026_JOR,3,group
WC-2026_QAT,3,group
WC-2026_SAU,3,group
WC-2026_KOR,3,group
WC-2026_UZB,3,group
WC-2026_ARG,8,runnerup
WC-2026_BRA,7,sf
WC-2026_COL,3,group
WC-2026_ECU,3,group
WC-2026_PRY,3,group
WC-2026_URY,3,group
WC-2026_CAN,3,group
WC-2026_MEX,4,roundof16
WC-2026_USA,4,roundof16
WC-2026_CUW,3,group
WC-2026_HTI,3,group
WC-2026_PAN,3,group
WC-2026_NZL,3,roundof32
