ID,team_id,country,team_code,confederation_name,region_name,tournament_id,tournament_name,year,matches_played,total_goals,stage_reached
WC-1930_ARG,T-03,Argentina,ARG,South American Football Confederation,South America,WC-1930,1930 FIFA Men's World Cup,1930,5,18,final
WC-1930_BEL,T-06,Belgium,BEL,Union of European Football Associations,Europe,WC-1930,1930 FIFA Men's World Cup,1930,2,0,group stage
WC-1930_BOL,T-07,Bolivia,BOL,South American Football Confederation,South America,WC-1930,1930 FIFA Men's World Cup,1930,2,0,group stage
WC-1930_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-1930,1930 FIFA Men's World Cup,1930,2,5,group stage
WC-1930_CHL,T-13,Chile,CHL,South American Football Confederation,South America,WC-1930,1930 FIFA Men's World Cup,1930,3,5,group stage
WC-1930_FRA,T-30,France,FRA,Union of European Football Associations,Europe,WC-1930,1930 FIFA Men's World Cup,1930,3,4,group stage
WC-1930_MEX,T-46,Mexico,MEX,"Confederation of North, Central American and Caribbean Association Football",North America,WC-1930,1930 FIFA Men's World Cup,1930,3,4,group stage
WC-1930_PRY,T-55,Paraguay,PRY,South American Football Confederation,South America,WC-1930,1930 FIFA Men's World Cup,1930,2,1,group stage
WC-1930_PER,T-56,Peru,PER,South American Football Confederation,South America,WC-1930,1930 FIFA Men's World Cup,1930,2,1,group stage
WC-1930_ROU,T-61,Romania,ROU,Union of European Football Associations,Europe,WC-1930,1930 FIFA Men's World Cup,1930,2,3,group stage
WC-1930_USA,T-83,United States,USA,"Confederation of North, Central American and Caribbean Association Football",North America,WC-1930,1930 FIFA Men's World Cup,1930,3,7,semi-finals
WC-1930_URY,T-84,Uruguay,URY,South American Football Confederation,South America,WC-1930,1930 FIFA Men's World Cup,1930,4,15,final
WC-1930_YUG,T-87,Yugoslavia,YUG,Union of European Football Associations,Europe,WC-1930,1930 FIFA Men's World Cup,1930,3,7,semi-finals
WC-1934_ARG,T-03,Argentina,ARG,South American Football Confederation,South America,WC-1934,1934 FIFA Men's World Cup,1934,1,2,round of 16
WC-1934_AUT,T-05,Austria,AUT,Union of European Football Associations,Europe,WC-1934,1934 FIFA Men's World Cup,1934,4,7,third-place match
WC-1934_BEL,T-06,Belgium,BEL,Union of European Football Associations,Europe,WC-1934,1934 FIFA Men's World Cup,1934,1,2,round of 16
WC-1934_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-1934,1934 FIFA Men's World Cup,1934,1,1,round of 16
WC-1934_CSK,T-21,Czechoslovakia,CSK,Union of European Football Associations,Europe,WC-1934,1934 FIFA Men's World Cup,1934,4,9,final
WC-1934_EGY,T-26,Egypt,EGY,Confederation of African Football,Africa,WC-1934,1934 FIFA Men's World Cup,1934,1,2,round of 16
WC-1934_FRA,T-30,France,FRA,Union of European Football Associations,Europe,WC-1934,1934 FIFA Men's World Cup,1934,1,2,round of 16
WC-1934_DEU,T-31,Germany,DEU,Union of European Football Associations,Europe,WC-1934,1934 FIFA Men's World Cup,1934,4,11,third-place match
WC-1934_HUN,T-36,Hungary,HUN,Union of European Football Associations,Europe,WC-1934,1934 FIFA Men's World Cup,1934,2,5,quarter-finals
WC-1934_ITA,T-41,Italy,ITA,Union of European Football Associations,Europe,WC-1934,1934 FIFA Men's World Cup,1934,5,12,final
WC-1934_NLD,T-48,Netherlands,NLD,Union of European Football Associations,Europe,WC-1934,1934 FIFA Men's World Cup,1934,1,2,round of 16
WC-1934_ROU,T-61,Romania,ROU,Union of European Football Associations,Europe,WC-1934,1934 FIFA Men's World Cup,1934,1,1,round of 16
WC-1934_ESP,T-73,Spain,ESP,Union of European Football Associations,Europe,WC-1934,1934 FIFA Men's World Cup,1934,3,4,quarter-finals
WC-1934_SWE,T-74,Sweden,SWE,Union of European Football Associations,Europe,WC-1934,1934 FIFA Men's World Cup,1934,2,4,quarter-finals
WC-1934_CHE,T-75,Switzerland,CHE,Union of European Football Associations,Europe,WC-1934,1934 FIFA Men's World Cup,1934,2,5,quarter-finals
WC-1934_USA,T-83,United States,USA,"Confederation of North, Central American and Caribbean Association Football",North America,WC-1934,1934 FIFA Men's World Cup,1934,1,1,round of 16
WC-1938_BEL,T-06,Belgium,BEL,Union of European Football Associations,Europe,WC-1938,1938 FIFA Men's World Cup,1938,1,1,round of 16
WC-1938_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-1938,1938 FIFA Men's World Cup,1938,5,14,third-place match
WC-1938_CUB,T-19,Cuba,CUB,"Confederation of North, Central American and Caribbean Association Football",Caribbean,WC-1938,1938 FIFA Men's World Cup,1938,3,5,quarter-finals
WC-1938_CSK,T-21,Czechoslovakia,CSK,Union of European Football Associations,Europe,WC-1938,1938 FIFA Men's World Cup,1938,3,5,quarter-finals
WC-1938_IDN,T-23,Dutch East Indies,IDN,Asian Football Confederation,South East Asia,WC-1938,1938 FIFA Men's World Cup,1938,1,0,round of 16
WC-1938_FRA,T-30,France,FRA,Union of European Football Associations,Europe,WC-1938,1938 FIFA Men's World Cup,1938,2,4,quarter-finals
WC-1938_DEU,T-31,Germany,DEU,Union of European Football Associations,Europe,WC-1938,1938 FIFA Men's World Cup,1938,2,3,round of 16
WC-1938_HUN,T-36,Hungary,HUN,Union of European Football Associations,Europe,WC-1938,1938 FIFA Men's World Cup,1938,4,15,final
